Pozicija;Dalyvis;Metai;Distancija;Laikas
  1;Darius Sadeckas;2014;21;1:09:13
  2;Vilius Aleliunas;2014;21;1:12:14
  3;Serhii Popov;2014;21;1:12:45
  4;Remigijus šnioka;2014;21;1:13:50
  5;Arturas Meška;2014;21;1:14:03
  6;Vitalijus Afanasjevas;2014;21;1:15:28
  7;Ruslanas Seitkalijevas;2014;21;1:15:40
  8;Marius Sirevicius;2014;21;1:15:48
  9;Vaidas žlabys;2014;21;1:15:57
  10;Rasa Drazdauskaite;2014;21;1:17:29
  11;Rimas šilanskas;2014;21;1:17:48
  12;Velimir Nazarychev;2014;21;1:17:59
  13;Linas šalkauskas;2014;21;1:19:20
  14;Dovydas Stašys;2014;21;1:19:20
  15;Andrius Michailovas;2014;21;1:19:41
  16;Vasily Nesterov;2014;21;1:19:59
  17;šarunas Lapenas;2014;21;1:20:09
  18;žydrunas Alekna;2014;21;1:20:52
  19;Milda Vilcinskaite;2014;21;1:20:57
  20;Daivaras Genys;2014;21;1:22:03
  21;Jarek Olszowka;2014;21;1:22:05
  22;Gintaras Andruška;2014;21;1:22:14
  23;Vladimir Lomov;2014;21;1:22:35
  24;Jekabs Bikis;2014;21;1:22:50
  25;Arnas Sirutis;2014;21;1:22:58
  26;Karolis Puras;2014;21;1:23:04
  27;Svajunas Pajaujis;2014;21;1:23:10
  28;Egidijus Juzonis;2014;21;1:23:45
  29;Kestutis Bikas;2014;21;1:23:51
  30;martynas tinfavicius;2014;21;1:24:28
  31;Sigitas Baltruškevicius;2014;21;1:24:37
  32;Saulius Batavicius;2014;21;1:24:51
  33;Martynas Krulis;2014;21;1:25:06
  34;Arunas Kumpis;2014;21;1:25:11
  35;Juozas Macys;2014;21;1:25:16
  36;Aurimas Bagdonavicius;2014;21;1:25:16
  37;Solis Jose;2014;21;1:25:20
  38;Robertas Jauniškis;2014;21;1:25:22
  39;Saulius Calkevicius;2014;21;1:25:51
  40;Dalius Dakinevicius;2014;21;1:25:55
  41;joris Armonas;2014;21;1:25:58
  42;Evaldas Dargužas;2014;21;1:25:59
  43;Gediminas Morenas;2014;21;1:26:23
  44;Sergey Khodyrev;2014;21;1:26:31
  45;Valerijus Cvetkovas;2014;21;1:26:35
  46;Adrien Gislain;2014;21;1:26:48
  47;Robert Rozej;2014;21;1:27:00
  48;Tadas Kavaliauskas;2014;21;1:27:12
  49;Vidas Narbutavicius;2014;21;1:27:18
  50;Martynas Majeris;2014;21;1:27:20
  51;vytas martunas;2014;21;1:27:25
  52;Domantas Kaminskas;2014;21;1:27:29
  53;Valentas Jonaitis;2014;21;1:27:37
  54;Mindaugas Savickas;2014;21;1:27:43
  55;Darius Kilbauskas;2014;21;1:27:46
  56;Kestutis Vingilis;2014;21;1:27:52
  57;Ricardas Rimkus;2014;21;1:28:04
  58;Gytis šumskas;2014;21;1:28:05
  59;Martynas Striukas;2014;21;1:28:20
  60;Simas Zareckas;2014;21;1:28:20
