Pozicija;Dalyvis;Metai;Distancija;Laikas
  1;Petras Gliebus;2014;10;0:32:24
  2;Paulius Bieliunas;2014;10;0:32:48
  3;Karolis Urbelionis;2014;10;0:33:59
  4;Justas Bucelis;2014;10;0:35:34
  5;Andrius Zonys;2014;10;0:36:10
  6;Vytautas Jakštys;2014;10;0:36:14
  7;Enrico Rivoldini;2014;10;0:36:24
  8;Giampiero Riggio;2014;10;0:36:36
  9;Valdas Gudaitis;2014;10;0:36:54
  10;Jaunius Strazdas;2014;10;0:36:55
  11;Mindaugas Jasinskas;2014;10;0:36:56
  12;Cosimo Tavano;2014;10;0:37:05
  13;Aurimas Gudaitis;2014;10;0:37:14
  14;Konstantinas Tichonovas;2014;10;0:37:33
  15;Laura Asadauskaite;2014;10;0:37:55
  16;Justinas Kinnderis;2014;10;0:37:59
  17;Jauhien Karaliou;2014;10;0:38:02
  18;Francesco Ferraro;2014;10;0:38:08
  19;Vaidas Ulenskas;2014;10;0:38:37
  20;Vytautas Cepla;2014;10;0:38:37
  21;Tomas Grebliauskas;2014;10;0:39:09
  22;Lina Batuleviciute;2014;10;0:39:12
  23;Jevgenijus Tolstokorovas;2014;10;0:39:16
  24;Loreta Kancyte;2014;10;0:39:19
  25;Andrius Matuliauskas;2014;10;0:39:20
  26;Gintaras Poderis;2014;10;0:39:20
  27;Linas Poznanskas;2014;10;0:39:23
  28;Ramunas Macius;2014;10;0:39:39
  29;Laimonas Strikaitis;2014;10;0:39:40
  30;Siarhei Kasiachenka;2014;10;0:39:41
  31;Mindaugas Kazlauskas;2014;10;0:39:46
  32;Monika Vilcinskaite;2014;10;0:39:48
  33;Josifas Alševskis;2014;10;0:39:50
  34;Edvinas Miškinis;2014;10;0:39:51
  35;Vitalij Banulevic;2014;10;0:39:53
  36;Martynas Germanavicius;2014;10;0:39:58
  37;Simonas Mockus;2014;10;0:40:31
  38;Joris čiburkus;2014;10;0:40:36
  39;Jonas Pokštas;2014;10;0:40:40
  40;Benas Lukas;2014;10;0:40:40
  41;Tomas Valiukonis;2014;10;0:40:51
  42;Andrej Voinilko;2014;10;0:40:51
  43;Andrius Jonušas;2014;10;0:41:02
  44;Anami Teko Ahatefou;2014;10;0:41:11
  45;Andrej Dubrovskij;2014;10;0:41:11
  46;Rimantas Pakalnis;2014;10;0:41:11
  47;GINTARE LISAJUTE;2014;10;0:41:13
  48;Alvydas Janutis;2014;10;0:41:14
  49;Albertas Lakštauskas;2014;10;0:41:20
  50;Edis Urbanavicius;2014;10;0:41:29
  51;Andrejus Zadneprovskis;2014;10;0:41:29
  52;Marius čiukas;2014;10;0:41:36
  53;Andrius Semionovas;2014;10;0:41:36
  54;Valdas šemiotas;2014;10;0:41:37
  55;Haroldas Jurevicius;2014;10;0:41:39
  56;Darius Karašauskas;2014;10;0:41:42
  57;Saulius Paulius Triponis;2014;10;0:41:42
  58;Darius Domarkas;2014;10;0:41:48
  59;Linas Raila;2014;10;0:41:52
  60;Darius Petrauskis;2014;10;0:41:55
  61;Aušra Bimbaite;2014;10;0:42:03
  62;Benitas Jonikas;2014;10;0:42:05
  63;Dovydas Judelevicius;2014;10;0:42:06
  64;Egidijus Riaubys;2014;10;0:42:09
  65;Donatas Pauša;2014;10;0:42:13
  66;Eugenijus Mačiulis;2014;10;0:42:15
  67;Gytis Neverauskas;2014;10;0:42:15
  68;Rita Balciauskaite;2014;10;0:42:24
  69;Remigijus Kilas;2014;10;0:42:27
  70;Algirdas Bartkevicius;2014;10;0:42:30
  71;Deividas Kaduškevicius;2014;10;0:42:30
  72;Renatas šulcius;2014;10;0:42:30
  73;Tadas Petraitis;2014;10;0:42:31
  74;Eimantas Kadys;2014;10;0:42:34
  75;Jolita Tichonova;2014;10;0:42:34
  76;Evaldas Marciunas;2014;10;0:42:36
  77;Ramune Kunigelyte;2014;10;0:42:41
  78;Gintaras Dicevicius;2014;10;0:42:46
  79;čilvinas Klimavicius;2014;10;0:42:51
  80;Arturas Bendorius;2014;10;0:42:55
  81;Aliaksandr Metsiun;2014;10;0:43:00
  82;Relindas Bertasius;2014;10;0:43:02
  83;Vytautas Songinas;2014;10;0:43:02
  84;Linas Keturka;2014;10;0:43:04
  85;Evaldas Pričginas;2014;10;0:43:06
  86;Lukas šadbaras;2014;10;0:43:13
  87;Jochen Alhaeuser;2014;10;0:43:14
  88;Antanas Radčius;2014;10;0:43:14
  89;Lukas Budavicius;2014;10;0:43:15
  90;Mantas Samulevicius;2014;10;0:43:17
  91;Andrius Juozas Paliušis;2014;10;0:43:18
  92;Raimondas Paskevicius;2014;10;0:43:26
  93;Martynas Normontas;2014;10;0:43:26
  94;Alberts Stulbergs;2014;10;0:43:27
  95;Simonas Kvederavicius;2014;10;0:43:30
  96;Andrius Pavelko;2014;10;0:43:31
  97;Dainius Stanionis;2014;10;0:43:33
  98;Kazys Kaikaris;2014;10;0:43:37
  99;Remigijus Nemanis;2014;10;0:43:37
  100;Justinas Muleika;2014;10;0:43:41
  101;Andrius Podčeckas;2014;10;0:43:45
  102;Kaspars Zile;2014;10;0:43:46
  103;Sergej Kasatkin;2014;10;0:43:48
  104;Danielius Girdiušas;2014;10;0:43:57
  105;Tomas Valauskas;2014;10;0:43:57
  106;Mantas Duda;2014;10;0:44:00
  107;Virginijus Valevicius;2014;10;0:44:02
  108;Deividas čitkus;2014;10;0:44:04
  109;Vladas Bagavicius;2014;10;0:44:06
  110;Danielius Stasiulis;2014;10;0:44:06
  111;Jonas Vadapalas;2014;10;0:44:09
  112;Erik Siliuk;2014;10;0:44:11
  113;Mindaugas Titlius;2014;10;0:44:14
  114;Viktorija čičiuniene;2014;10;0:44:15
  115;Janis Liepins;2014;10;0:44:18
  116;Julius Klakauskas;2014;10;0:44:23
  117;Viktoras Chadyšas;2014;10;0:44:25
  118;Vasily Shcherbakov;2014;10;0:44:34
  119;Ieva Lukošiute-Stanikuniene;2014;10;0:44:35
  120;Pavelas Kirilovas;2014;10;0:44:38
  121;Oscar Romero;2014;10;0:44:43
  122;Ernestas Pliuška;2014;10;0:44:43
  123;Vaida Naslenaite;2014;10;0:44:45
  124;Rafael Merino;2014;10;0:44:46
  125;Povilas Milašius;2014;10;0:44:50
  126;Giedrius Masalskis;2014;10;0:44:51
  127;Tomas Pikturna;2014;10;0:44:51
  128;Mindaugas Kaikaris;2014;10;0:44:51
  129;Dovydas Ceilutka;2014;10;0:44:51
  130;Tomas Kaminskas;2014;10;0:44:57
  131;Andrej Timofejev;2014;10;0:44:58
  132;Aurimas Laurikaitis;2014;10;0:45:01
  133;Tadas Petniunas;2014;10;0:45:07
  134;Egidijus Braciška;2014;10;0:45:12
  135;Mantas Bruzge;2014;10;0:45:15
  136;Tadas Raguckas;2014;10;0:45:16
  137;Paulius Kucas;2014;10;0:45:17
  138;Valdas Maksimavicius;2014;10;0:45:18
  139;Pijus Vycas;2014;10;0:45:18
  140;Saulius Kucinskas;2014;10;0:45:18
  141;Laurynas Cepulis;2014;10;0:45:19
  142;Tadas Sungaila;2014;10;0:45:19
  143;Romas Bazelis;2014;10;0:45:21
  144;Mantas Jasnauskas;2014;10;0:45:22
  145;Andrius Cernauskas;2014;10;0:45:25
  146;Arturas Vyšniauskas;2014;10;0:45:25
  147;šarunas Sereika;2014;10;0:45:26
  148;Giedrius Ambročevicius;2014;10;0:45:26
  149;Mikas Musnikas;2014;10;0:45:30
  150;Petras Milašius;2014;10;0:45:33
  151;Vaidas Augustinavicius;2014;10;0:45:35
  152;Tautvydas Venslovas;2014;10;0:45:39
  153;Darius čilinskis;2014;10;0:45:40
  154;Rokas Morkunas;2014;10;0:45:42
  155;Laimonas Vitkus;2014;10;0:45:42
