Pozicija;Dalyvis;Metai;Distancija;Laikas
  1;Petras Gliebus;2014;10;0:32:24
  1;Paulius Bieliunas;2014;4.2;0:13:19
  1;Remigijus Kancys;2014;42;2:23:41
  1;Darius Sadeckas;2014;21;1:09:13
  2;Paulius Bieliunas;2014;10;0:32:48
  2;Simas Bertašius;2014;4.2;0:13:35
  2;Artur Kern;2014;42;2:25:56
  2;Vilius Aleliunas;2014;21;1:12:14
  3;Karolis Urbelionis;2014;10;0:33:59
  3;Dalius Pavliukovicius;2014;4.2;0:13:38
  3;Ignas Brasevicius;2014;42;2:30:51
  3;Serhii Popov;2014;21;1:12:45
  4;Justas Bucelis;2014;10;0:35:34
  4;Regimantas Tarasevicius;2014;4.2;0:13:44
  4;Dmitry Pozhevilov;2014;42;2:34:17
  4;Remigijus šnioka;2014;21;1:13:50
  5;Andrius Zonys;2014;10;0:36:10
  5;Ernest Kolenda;2014;4.2;0:13:55
  5;Domantas Balsys;2014;42;2:37:26
  5;Arturas Meška;2014;21;1:14:03
  6;Vytautas Jakštys;2014;10;0:36:14
  6;Aleksandr Malyško;2014;4.2;0:14:10
  6;Modestas Bacys;2014;42;2:40:06
  6;Vitalijus Afanasjevas;2014;21;1:15:28
  7;Enrico Rivoldini;2014;10;0:36:24
  7;Evaldas Gustaitis;2014;4.2;0:14:18
  7;Vaida žusinaite;2014;42;2:43:13
  7;Ruslanas Seitkalijevas;2014;21;1:15:40
  8;Giampiero Riggio;2014;10;0:36:36
  8;Evaldas Gustaitis;2014;4.2;0:14:20
  8;VITALII SUMBAEV;2014;42;2:46:11
  8;Marius Sirevicius;2014;21;1:15:48
  9;Valdas Gudaitis;2014;10;0:36:54
  9;Andrejus žusovas;2014;4.2;0:14:49
  9;Svjatoslavs Osipovs;2014;42;2:48:54
  9;Vaidas žlabys;2014;21;1:15:57
  10;Jaunius Strazdas;2014;10;0:36:55
  10;Arminas Civilis;2014;4.2;0:14:55
  10;Ramunas Vilcinskas;2014;42;2:49:04
  10;Rasa Drazdauskaite;2014;21;1:17:29
  11;Mindaugas Jasinskas;2014;10;0:36:56
  11;Povilas Klimas;2014;4.2;0:14:57
  11;Kostas Zenov;2014;42;2:51:19
  11;Rimas šilanskas;2014;21;1:17:48
  12;Cosimo Tavano;2014;10;0:37:05
  12;Rasa Batuleviciute;2014;4.2;0:14:59
  12;Vidas Totilas;2014;42;2:52:09
  12;Velimir Nazarychev;2014;21;1:17:59
  13;Aurimas Gudaitis;2014;10;0:37:14
  13;Jurgis Latonas;2014;4.2;0:14:59
  13;Edvinas Vyzas;2014;42;2:53:13
  13;Linas šalkauskas;2014;21;1:19:20
  14;Konstantinas Tichonovas;2014;10;0:37:33
  14;Grigas Petraitis;2014;4.2;0:15:04
  14;Andrius Ramonas;2014;42;2:53:33
  14;Dovydas Stašys;2014;21;1:19:20
  15;Laura Asadauskaite;2014;10;0:37:55
  15;Erikas Jansonas;2014;4.2;0:15:07
  15;Mindaugas šimulis;2014;42;2:53:59
  15;Andrius Michailovas;2014;21;1:19:41
  16;Justinas Kinnderis;2014;10;0:37:59
  16;Modestas Rusevicius;2014;4.2;0:15:10
  16;Marius Noreika;2014;42;2:54:59
  16;Vasily Nesterov;2014;21;1:19:59
  17;Jauhien Karaliou;2014;10;0:38:02
  17;Rokas Urbonavicius;2014;4.2;0:15:27
  17;Ritvars Lerme;2014;42;2:56:29
  17;šarunas Lapenas;2014;21;1:20:09
  18;Francesco Ferraro;2014;10;0:38:08
  18;Rokas Urbonavicius;2014;4.2;0:15:27
  18;Kristijonas Gušcius;2014;42;2:56:59
  18;žydrunas Alekna;2014;21;1:20:52
  19;Vaidas Ulenskas;2014;10;0:38:37
  19;Joris Vainius;2014;4.2;0:15:29
  19;Andrius Preibys;2014;42;2:57:45
  19;Milda Vilcinskaite;2014;21;1:20:57
  20;Vytautas Cepla;2014;10;0:38:37
  20;Silberstein Jonathan;2014;4.2;0:15:34
  20;Virgilijus Muralis;2014;42;2:58:28
  20;Daivaras Genys;2014;21;1:22:03
  21;Tomas Grebliauskas;2014;10;0:39:09
  21;AIVARAS CEKANAVICIUS;2014;4.2;0:15:36
  21;Rapolas Striukas;2014;42;2:58:29
  21;Jarek Olszowka;2014;21;1:22:05
  22;Lina Batuleviciute;2014;10;0:39:12
  22;Jevgenijus Tolstokorovas;2014;4.2;0:15:38
  22;Nerijus Mikucionis;2014;42;2:58:33
  22;Gintaras Andruška;2014;21;1:22:14
  23;Jevgenijus Tolstokorovas;2014;10;0:39:16
  23;Modestas Gudauskas;2014;4.2;0:15:38
  23;Pavel Altyshov;2014;42;2:58:57
  23;Vladimir Lomov;2014;21;1:22:35
  24;Loreta Kancyte;2014;10;0:39:19
  24;Romualdas Staniul;2014;4.2;0:15:38
  24;Nataliya Hryhoryeva;2014;42;2:59:33
  24;Jekabs Bikis;2014;21;1:22:50
  25;Andrius Matuliauskas;2014;10;0:39:20
  25;Arnas Matulionis;2014;4.2;0:15:41
  25;Valdemaras Milkus;2014;42;2:59:55
  25;Arnas Sirutis;2014;21;1:22:58
  26;Gintaras Poderis;2014;10;0:39:20
  26;Aidas Barkauskas;2014;4.2;0:15:42
  26;Denis Dudchenko;2014;42;2:59:58
  26;Karolis Puras;2014;21;1:23:04
  27;Linas Poznanskas;2014;10;0:39:23
  27;Vilius Kateiva;2014;4.2;0:15:43
  27;Renatas Orlovas;2014;42;3:01:09
  27;Svajunas Pajaujis;2014;21;1:23:10
  28;Ramunas Macius;2014;10;0:39:39
  28;Martynas Bernotas;2014;4.2;0:15:44
  28;Antanas žukauskas;2014;42;3:01:28
  28;Egidijus Juzonis;2014;21;1:23:45
  29;Laimonas Strikaitis;2014;10;0:39:40
  29;Deividas Kliševicius;2014;4.2;0:15:44
  29;Mykola Nesterenko;2014;42;3:01:42
  29;Kestutis Bikas;2014;21;1:23:51
  30;Siarhei Kasiachenka;2014;10;0:39:41
  30;Konrad Kutyš;2014;4.2;0:15:47
  30;Rolandas Vasiliauskas ;2014;42;3:02:52
  30;martynas tinfavicius;2014;21;1:24:28
  31;Mindaugas Kazlauskas;2014;10;0:39:46
  31;Benas Kontrimavicius;2014;4.2;0:15:48
  31;Jevgenijus Galuška;2014;42;3:04:29
  31;Sigitas Baltruškevicius;2014;21;1:24:37
  32;Monika Vilcinskaite;2014;10;0:39:48
  32;Loreta Kancyte;2014;4.2;0:15:48
  32;Renatas Plytnikas;2014;42;3:05:06
  32;Saulius Batavicius;2014;21;1:24:51
  33;Josifas Alševskis;2014;10;0:39:50
  33;Vladas Kolesnik;2014;4.2;0:15:49
  33;Sarunas Liegus;2014;42;3:05:23
  33;Martynas Krulis;2014;21;1:25:06
  34;Edvinas Miškinis;2014;10;0:39:51
  34;Darius Kibildis;2014;4.2;0:15:57
  34;Giedrius Valantinas;2014;42;3:05:35
  34;Arunas Kumpis;2014;21;1:25:11
  35;Vitalij Banulevic;2014;10;0:39:53
  35;Deividas Gilys;2014;4.2;0:15:58
  35;Gintaras Gruodis;2014;42;3:07:11
  35;Juozas Macys;2014;21;1:25:16
  36;Martynas Germanavicius;2014;10;0:39:58
  36;Paulius Januška;2014;4.2;0:15:59
  36;Ramunas Grumbinas;2014;42;3:07:31
  36;Aurimas Bagdonavicius;2014;21;1:25:16
  37;Simonas Mockus;2014;10;0:40:31
  37;Domas Valiunas;2014;4.2;0:16:00
  37;Dominykas Beleckas;2014;42;3:07:39
  37;Solis Jose;2014;21;1:25:20
  38;Joris čiburkus;2014;10;0:40:36
  38;Ignas Kazlauskas;2014;4.2;0:16:02
  38;Austeja Miežyte;2014;42;3:07:41
  38;Robertas Jauniškis;2014;21;1:25:22
  39;Jonas Pokštas;2014;10;0:40:40
  39;Jone Pauryte;2014;4.2;0:16:05
  39;Andres Laineste;2014;42;3:07:42
  39;Saulius Calkevicius;2014;21;1:25:51
  40;Benas Lukas;2014;10;0:40:40
  40;MARTYNAS AMBRIZAS;2014;4.2;0:16:06
  40;aurimas rimkus;2014;42;3:08:32
  40;Dalius Dakinevicius;2014;21;1:25:55
  41;Tomas Valiukonis;2014;10;0:40:51
  41;Denisas Tichonovas;2014;4.2;0:16:07
  41;Asko Kuusalu;2014;42;3:08:54
  41;joris Armonas;2014;21;1:25:58
  42;Andrej Voinilko;2014;10;0:40:51
  42;Nikita Lužkov;2014;4.2;0:16:08
  42;Deimantas Mitka;2014;42;3:09:14
  42;Evaldas Dargužas;2014;21;1:25:59
  43;Andrius Jonušas;2014;10;0:41:02
  43;Mindaugas Kutkaitis;2014;4.2;0:16:10
  43;Edgars Rencis;2014;42;3:09:40
  43;Gediminas Morenas;2014;21;1:26:23
  44;Anami Teko Ahatefou;2014;10;0:41:11
  44;Lukas Ciurinskas;2014;4.2;0:16:13
  44;Maksim Kulik;2014;42;3:09:45
  44;Sergey Khodyrev;2014;21;1:26:31
  45;Valerijus Cvetkovas;2014;21;1:26:35
  45;Andrej Dubrovskij;2014;10;0:41:11
  45;Edgaras Abušovas;2014;4.2;0:16:15
  45;Rolandas Silius;2014;42;3:10:00
  46;Adrien Gislain;2014;21;1:26:48
  46;Rimantas Pakalnis;2014;10;0:41:11
  46;Jaunius Karmelavicius;2014;4.2;0:16:15
  46;Vaidotas Baužys;2014;42;3:10:24
  47;Robert Rozej;2014;21;1:27:00
  47;GINTARE LISAJUTE;2014;10;0:41:13
  47;Justinas Norkus;2014;4.2;0:16:15
  47;Gatis Pucitis;2014;42;3:10:36
  48;Tadas Kavaliauskas;2014;21;1:27:12
  48;Alvydas Janutis;2014;10;0:41:14
  48;Kasparas Falkas;2014;4.2;0:16:16
  48;Darius Ruzgas;2014;42;3:10:42
  49;Vidas Narbutavicius;2014;21;1:27:18
  49;Albertas Lakštauskas;2014;10;0:41:20
  49;Karolis Paukšte;2014;4.2;0:16:17
  49;Aleksej Smirnov;2014;42;3:11:31
  50;Martynas Majeris;2014;21;1:27:20
  50;Edis Urbanavicius;2014;10;0:41:29
  50;Eduardas Survilas;2014;4.2;0:16:18
