Pozicija;Dalyvis;Metai;Distancija;Laikas
1;Darius Sadeckas;2011;21;01:09:34.90
1;DZMITRY HRYHORYEU;2011;42;02:34:40.75
1;Paulius Bieliūnas;2011;4.2;00:12:10.50
2;Aurimas Skinulis;2011;21;01:09:49.70
2;Saulius Valalis;2011;42;02:35:09.00
2;Dalius Pavliukovičius;2011;4.2;00:12:34.20
3;Jonas Vytaustas Gvildys;2011;21;01:11:20.30
3;Tomas Venckūnas;2011;42;02:37:34.30
3;Andrej Jegorov;2011;4.2;00:12:40.85
4;Vilius Aleliūnas;2011;21;01:12:21.60
4;Gediminas Grinius;2011;42;02:42:30.20
4;Justas Maksimavičius;2011;4.2;00:12:45.45
5;Nerijus Markauskas;2011;21;01:16:53.90
5;Vidas Totilas;2011;42;02:43:54.75
5;Vaida Žūsinaitė;2011;4.2;00:13:10.50
6;Aivaras  Vareika;2011;21;01:19:10.70
6;IHAR BARYSIONAK;2011;42;02:47:21.50
6;Andrius Zonys;2011;4.2;00:13:16.25
7;Domantas Balsys;2011;21;01:19:50.40
7;Petras Pranckūnas;2011;42;02:52:58.55
7;Miroslav Bloško;2011;4.2;00:13:19.10
8;Vaidas Žlabys;2011;21;01:20:00.75
8;Vytautas Gražys;2011;42;02:59:32.40
8;Andrius Kašinskas;2011;4.2;00:13:28.90
9;Igoris Bordorovas;2011;21;01:20:19.70
9;Kostas Zenov;2011;42;03:00:41.25
9;Tadas Kalkauskas;2011;4.2;00:13:35.35
10;Rolandas Vasiliauskas;2011;21;01:20:42.10
10;Antanas Kasparavičius;2011;42;03:00:46.65
10;Andrius Kalesnykas;2011;4.2;00:13:39.65
11;Martynas Šalaševičius;2011;21;01:20:44.65
11;Rytis Zajančkauskas;2011;42;03:02:17.00
11;Mantas Žuolys;2011;4.2;00:13:39.70
12;Giedrius  Sabaliauskas;2011;21;01:21:11.55
12;Antanas Žukauskas;2011;42;03:02:29.20
12;Žygimantas Malinauskas;2011;4.2;00:13:41.85
13;Kęstutis  Kilinskas;2011;21;01:21:47.60
13;Nerijus Mikučionis;2011;42;03:02:32.00
13;Jurgis Latonas;2011;4.2;00:13:54.40
14;DALIUS DAKINEVIČIUS;2011;21;01:21:56.75
14;Virgilijus Muralis;2011;42;03:02:48.50
14;Denisas Tichonovas;2011;4.2;00:14:00.30
