Pozicija;Dalyvis;Metai;Distancija;Laikas
  1;Paulius Bieliunas;2014;4.2;0:13:19
  2;Simas Bertašius;2014;4.2;0:13:35
  3;Dalius Pavliukovicius;2014;4.2;0:13:38
  4;Regimantas Tarasevicius;2014;4.2;0:13:44
  5;Ernest Kolenda;2014;4.2;0:13:55
  6;Aleksandr Malyško;2014;4.2;0:14:10
  7;Evaldas Gustaitis;2014;4.2;0:14:18
  8;Evaldas Gustaitis;2014;4.2;0:14:20
  9;Andrejus žusovas;2014;4.2;0:14:49
  10;Arminas Civilis;2014;4.2;0:14:55
  11;Povilas Klimas;2014;4.2;0:14:57
  12;Rasa Batuleviciute;2014;4.2;0:14:59
  13;Jurgis Latonas;2014;4.2;0:14:59
  14;Grigas Petraitis;2014;4.2;0:15:04
  15;Erikas Jansonas;2014;4.2;0:15:07
  16;Modestas Rusevicius;2014;4.2;0:15:10
  17;Rokas Urbonavicius;2014;4.2;0:15:27
  18;Rokas Urbonavicius;2014;4.2;0:15:27
  19;Joris Vainius;2014;4.2;0:15:29
  20;Silberstein Jonathan;2014;4.2;0:15:34
  21;AIVARAS CEKANAVICIUS;2014;4.2;0:15:36
  22;Jevgenijus Tolstokorovas;2014;4.2;0:15:38
  23;Modestas Gudauskas;2014;4.2;0:15:38
  24;Romualdas Staniul;2014;4.2;0:15:38
  25;Arnas Matulionis;2014;4.2;0:15:41
  26;Aidas Barkauskas;2014;4.2;0:15:42
  27;Vilius Kateiva;2014;4.2;0:15:43
  28;Martynas Bernotas;2014;4.2;0:15:44
  29;Deividas Kliševicius;2014;4.2;0:15:44
  30;Konrad Kutyš;2014;4.2;0:15:47
  31;Benas Kontrimavicius;2014;4.2;0:15:48
  32;Loreta Kancyte;2014;4.2;0:15:48
  33;Vladas Kolesnik;2014;4.2;0:15:49
  34;Darius Kibildis;2014;4.2;0:15:57
  35;Deividas Gilys;2014;4.2;0:15:58
  36;Paulius Januška;2014;4.2;0:15:59
  37;Domas Valiunas;2014;4.2;0:16:00
  38;Ignas Kazlauskas;2014;4.2;0:16:02
  39;Jone Pauryte;2014;4.2;0:16:05
  40;MARTYNAS AMBRIZAS;2014;4.2;0:16:06
  41;Denisas Tichonovas;2014;4.2;0:16:07
  42;Nikita Lužkov;2014;4.2;0:16:08
  43;Mindaugas Kutkaitis;2014;4.2;0:16:10
  44;Lukas Ciurinskas;2014;4.2;0:16:13
  45;Edgaras Abušovas;2014;4.2;0:16:15
  46;Jaunius Karmelavicius;2014;4.2;0:16:15
  47;Justinas Norkus;2014;4.2;0:16:15
  48;Kasparas Falkas;2014;4.2;0:16:16
  49;Karolis Paukšte;2014;4.2;0:16:17
  50;Eduardas Survilas;2014;4.2;0:16:18
  51;Edgaras Dikcius;2014;4.2;0:16:18
  52;Tomas Braziulis;2014;4.2;0:16:23
  53;Gintaras Mažeika;2014;4.2;0:16:27
  54;Eduard Tucinskij;2014;4.2;0:16:28
  55;Domantas Inkrata;2014;4.2;0:16:29
  56;Arvydas Krikšciunas;2014;4.2;0:16:31
  57;Gediminas Morenas;2014;4.2;0:16:31
  58;Julius Kalindra;2014;4.2;0:16:36
  59;Justas žickus;2014;4.2;0:16:39
  60;Mantas žuolys;2014;4.2;0:16:45
  61;Aurimas Girskis;2014;4.2;0:16:45
  62;Modestas Taškinas;2014;4.2;0:16:46
  63;Matas Cenys;2014;4.2;0:16:48
  64;Paulius Stravinskas;2014;4.2;0:16:49
  65;Tomas Kazlauskas;2014;4.2;0:16:51
  66;Jonas Staniulis;2014;4.2;0:16:52
  67;Ugnius Buitkus;2014;4.2;0:16:52
  68;Elvis Peckeliunas;2014;4.2;0:16:55
  69;Marius Debesis;2014;4.2;0:16:56
  70;Simona Janaviciute;2014;4.2;0:16:59
  71;Nicola Milesi;2014;4.2;0:16:59
  72;Karolis Gricius;2014;4.2;0:17:00
  73;Tomas Stech;2014;4.2;0:17:00
  74;Emilis Laužikas;2014;4.2;0:17:03
  75;Donatas žvinklys;2014;4.2;0:17:04
  76;Aivaras Simonaitis;2014;4.2;0:17:05
  77;Valentinas Bukovskis;2014;4.2;0:17:06
  78;RAPOLAS žINEVICIUS;2014;4.2;0:17:07
  79;Andrej Fokin;2014;4.2;0:17:07
  80;Simas Stankevicius;2014;4.2;0:17:08
  81;Rytis Stankevicius;2014;4.2;0:17:09
  82;Aina Jonaite;2014;4.2;0:17:14
  83;Eimantas Bražinskas;2014;4.2;0:17:15
  84;Mindaugas Rackaitis;2014;4.2;0:17:15
  85;Gediminas Judzentas;2014;4.2;0:17:20
  86;Pranas žvingilas;2014;4.2;0:17:21
  87;JULIJA URBUTYTE;2014;4.2;0:17:21
  88;Kristijonas Jurkšas;2014;4.2;0:17:21
  89;Domantas Urbonas;2014;4.2;0:17:24
  90;AIVARAS VASILIAUSKAS;2014;4.2;0:17:25
  91;Andrejus Oskominas;2014;4.2;0:17:26
  92;Dainius Dzindzalieta;2014;4.2;0:17:27
  93;Patrik Cerniavskij;2014;4.2;0:17:28
  94;Ignas Vasiliauskas;2014;4.2;0:17:30
  95;Kristupas Guntis;2014;4.2;0:17:31
