Pozicija;Dalyvis;Metai;Distancija;Laikas
134;Paulius Černakauskas;2012;42;3:41:27
135;Tadas Vilutis;2012;42;3:42:26
136;Jurgen Sinthofen;2012;42;3:42:29
137;Artūras Čepukas;2012;42;3:42:32
138;Antanas Pazarauskas;2012;42;3:42:32
139;Paolo Marangoni;2012;42;3:42:35
140;Arvydas Jurgelevičius;2012;42;3:42:43
141;Arnold Laroye;2012;42;3:42:48
142;Edgaras Lubys;2012;42;3:42:51
143;Vaidas Rekštys;2012;42;3:43:09
144;Darius Stulgys;2012;42;3:43:12
145;Borisas Iljinas;2012;42;3:43:49
146;Rytis Bublevičius;2012;42;3:44:08
147;Sigitas Vyšniauskas;2012;42;3:44:24
148;Algirdas Pukis;2012;42;3:44:31
149;Vytenis Bučius;2012;42;3:44:32
150;Vilius Pargaliauskas;2012;42;3:44:35
151;Nežinomas Dalyvis;2012;42;3:44:42
152;Sigitas Ciukša;2012;42;3:44:42
153;Saulius Gumbrevičius;2012;42;3:44:48
154;Karolis Revuckas;2012;42;3:44:49
155;Ignas Petronis;2012;42;3:44:57
156;Romas Jasinskas;2012;42;3:45:12
157;Jacek Puzyr;2012;42;3:45:23
158;Gvidas Navickas;2012;42;3:45:35
159;Mindaugas Skalandžiūnas;2012;42;3:45:52
160;Tomas Januškaitis;2012;42;3:45:52
161;Mindaugas Grigas;2012;42;3:46:00
162;Eimantas Aukštikalnis;2012;42;3:46:15
163;Krzysztof Szyma?ski;2012;42;3:46:25
164;Rimas Rimkus;2012;42;3:46:41
165;Eduard Beganskij;2012;42;3:47:24
166;Remigijus Šnioka;2012;42;3:47:34
167;Egidijus Kaškevičius;2012;42;3:47:41
168;Jussi Lassila;2012;42;3:47:46
169;Aurelijus Dvelys;2012;42;3:48:07
170;Jani Nieminen;2012;42;3:48:12
171;Darius Skaisgiris;2012;42;3:48:16
172;Liudas Markevičius;2012;42;3:48:18
173;Edvinas Kisielius;2012;42;3:49:03
