Pozicija;Dalyvis;Metai;Distancija;Laikas
64;Dainius Skrivelis;2010;4.2;12:19:22
64;Przebinda Grzegorz;2010;42;3:35:15
65;Igoris Ivonis;2010;4.2;12:19:22
65;Audrius Trinka;2010;42;3:35:34
66;Justas Urbonas;2010;4.2;12:19:23
66;Algirdas Striūka;2010;42;3:35:35
67;Miglė Paliukaitė;2010;4.2;12:19:23
67;Jakub Lengiewicz;2010;42;3:35:50
68;Darius Bondzinskas;2010;4.2;12:19:23
68;Airidas Vedeikis;2010;42;3:36:29
69;Minijus Tilindis;2010;4.2;12:19:24
69;Vytautas Jurkus;2010;42;3:36:51
70;Rolandas Riškus;2010;4.2;12:19:24
70;Gražvydas Jusaitis;2010;42;3:39:02
71;Aivaras Poška;2010;4.2;12:19:24
71;Grzegorz Baranski;2010;42;3:39:18
72;Žymantas Kareckas;2010;4.2;12:19:26
72;Krzysztof Kasprzak;2010;42;3:39:18
73;Sierens Franky;2010;42;3:40:09
73;Andrius Černauskas;2010;4.2;12:19:28
74;Poderys Vilius;2010;42;3:40:13
74;Herkus Butkus;2010;4.2;12:19:28
75;Ausrine Ward;2010;42;3:40:49
75;Marijus Bakas;2010;4.2;12:19:29
76;Benediktas Spirgys;2010;42;3:42:08
76;Mindaugas Ruslys;2010;4.2;12:19:29
77;Algimantas Janušauskas;2010;42;3:42:51
77;Arūnas Budrikis;2010;4.2;12:19:30
78;Romas Jasinskas;2010;42;3:43:11
78;Roberts Santars;2010;4.2;12:19:32
79;Tautvydas Stiga;2010;42;3:43:51
79;Žygimantas Zdanys;2010;4.2;12:19:42
80;Dainius Dručiūnas;2010;42;3:44:46
80;Valdas Dičmonas;2010;4.2;12:19:43
81;Piotr Silkin;2010;42;3:45:01
81;Rūta Juškevičiūtė;2010;4.2;12:19:43
82;Arthur Poyurovsky;2010;42;3:45:01
82;Paulius Jankauskas;2010;4.2;12:19:44
83;Balys Bardauskas;2010;42;3:45:33
83;Kęstutis Matuliauskas;2010;4.2;12:19:47
84;Henrikas Mulevičius;2010;42;3:45:33
84;Tomas Grabauskas;2010;4.2;12:19:48
85;Dainius Stanionis;2010;42;3:46:45
85;Simonas Vaišvila;2010;4.2;12:19:48
86;Jonas Jurjonas;2010;42;3:47:01
86;Šarūnas Alijošius;2010;4.2;12:19:50
87;Albinas Markevicius;2010;42;3:47:09
87;Eduard Tetianec;2010;4.2;12:19:51
88;Marius Katilius;2010;42;3:47:28
88;Paulius Stagniūnas;2010;4.2;12:19:55
89;Vilija Damašickienė;2010;42;3:48:19
89;Povilas Cholopovas;2010;4.2;12:19:56
90;Šarūnas-Petras Brazinskas;2010;42;3:48:48
90;Rimantas Cepovas;2010;4.2;12:19:57
91;Ignas Vėžys;2010;42;3:48:49
91;Andrius Norvaiša;2010;4.2;12:20:02
92;Keld Korshoej;2010;42;3:49:18
92;Julius Šmatavičius;2010;4.2;8:03:00
93;Rimantas Melnikas;2010;42;3:49:24
93;Bernardas Maršalka;2010;4.2;12:20:05
94;Edmantas Svirinavičius;2010;42;3:49:45
94;Robertas Keršys;2010;4.2;12:20:06
95;Mangirdas Malinauskas;2010;42;3:51:16
95;Mantas Mendelevičius;2010;4.2;12:20:08
96;Tomas Miliauskas;2010;42;3:51:38
96;Paulius Gvazdauskas;2010;4.2;12:20:10
97;Andrej Žavoronkov;2010;42;3:51:45
97;Faustas Butkus;2010;4.2;12:20:13
98;Staniszewski Zygmunt;2010;42;3:52:24
98;Mindaugas Žičkus;2010;4.2;12:20:13
99;Sierocki Jan;2010;42;3:52:35
99;Ignas Kazlauskas;2010;4.2;12:20:15
100;Romas Kiršys;2010;42;3:52:45
100;Jurgita Vėželytė;2010;4.2;12:20:15
101;Kęstutis Tursa;2010;42;3:53:07
101;Renaldas Mackevičius;2010;4.2;12:20:16
102;Wojtek Szydlik;2010;42;3:53:21
102;Eva Dunec;2010;4.2;12:20:16
103;Suchodolski Krzysztof;2010;42;3:54:02
103;Andrius Uldinskas;2010;4.2;12:20:17
104;Eugenijus Žvirzdinas;2010;42;3:54:12
104;Žydrūnė Muniūtė;2010;4.2;12:20:17
105;Szymon Pyrka;2010;42;3:54:35
105;Vidas Narbutavičius;2010;4.2;12:20:18
106;Giedrius Povilavičius;2010;42;3:54:35
106;Rokas Šerpytis;2010;4.2;12:20:19
107;Gedeminas Davydovas;2010;42;3:54:57
107;Julius Steponavičius;2010;4.2;12:20:24
108;Karolis Kybartas;2010;42;3:55:09
108;Jevgenijus Mačiūnas;2010;4.2;12:20:24
