Pozicija;Dalyvis;Metai;Distancija;Laikas
  1;Remigijus Kancys;2014;42;2:23:41
  2;Artur Kern;2014;42;2:25:56
  3;Ignas Brasevicius;2014;42;2:30:51
  4;Dmitry Pozhevilov;2014;42;2:34:17
  5;Domantas Balsys;2014;42;2:37:26
  6;Modestas Bacys;2014;42;2:40:06
  7;Vaida žusinaite;2014;42;2:43:13
  8;VITALII SUMBAEV;2014;42;2:46:11
  9;Svjatoslavs Osipovs;2014;42;2:48:54
  10;Ramunas Vilcinskas;2014;42;2:49:04
  11;Kostas Zenov;2014;42;2:51:19
  12;Vidas Totilas;2014;42;2:52:09
  13;Edvinas Vyzas;2014;42;2:53:13
  14;Andrius Ramonas;2014;42;2:53:33
  15;Mindaugas šimulis;2014;42;2:53:59
  16;Marius Noreika;2014;42;2:54:59
  17;Ritvars Lerme;2014;42;2:56:29
  18;Kristijonas Gušcius;2014;42;2:56:59
  19;Andrius Preibys;2014;42;2:57:45
  20;Virgilijus Muralis;2014;42;2:58:28
  21;Rapolas Striukas;2014;42;2:58:29
  22;Nerijus Mikucionis;2014;42;2:58:33
  23;Pavel Altyshov;2014;42;2:58:57
  24;Nataliya Hryhoryeva;2014;42;2:59:33
  25;Valdemaras Milkus;2014;42;2:59:55
  26;Denis Dudchenko;2014;42;2:59:58
  27;Renatas Orlovas;2014;42;3:01:09
  28;Antanas žukauskas;2014;42;3:01:28
  29;Mykola Nesterenko;2014;42;3:01:42
  30;Rolandas Vasiliauskas ;2014;42;3:02:52
  31;Jevgenijus Galuška;2014;42;3:04:29
  32;Renatas Plytnikas;2014;42;3:05:06
  33;Sarunas Liegus;2014;42;3:05:23
  34;Giedrius Valantinas;2014;42;3:05:35
  35;Gintaras Gruodis;2014;42;3:07:11
  36;Ramunas Grumbinas;2014;42;3:07:31
  37;Dominykas Beleckas;2014;42;3:07:39
  38;Austeja Miežyte;2014;42;3:07:41
  39;Andres Laineste;2014;42;3:07:42
  40;aurimas rimkus;2014;42;3:08:32
  41;Asko Kuusalu;2014;42;3:08:54
  42;Deimantas Mitka;2014;42;3:09:14
  43;Edgars Rencis;2014;42;3:09:40
  44;Maksim Kulik;2014;42;3:09:45
  45;Rolandas Silius;2014;42;3:10:00
  46;Vaidotas Baužys;2014;42;3:10:24
  47;Gatis Pucitis;2014;42;3:10:36
  48;Darius Ruzgas;2014;42;3:10:42
  49;Aleksej Smirnov;2014;42;3:11:31
  50;Kestutis Grigenas;2014;42;3:11:58
  51;Pawel Drazek;2014;42;3:11:59
  52;Bartlomiej Zielinski;2014;42;3:13:28
  53;Vytautas Anužis;2014;42;3:14:00
  54;Egidijus Auškalnis;2014;42;3:14:41
  55;Rytis Zajanckauskas;2014;42;3:14:59
  56;Evaldas Balcius;2014;42;3:15:00
  57;Linas Jocius;2014;42;3:15:09
  58;Andrius Drobnys;2014;42;3:15:20
  59;Dariusz Gruszczynski;2014;42;3:16:18
  60;Robert Zak;2014;42;3:16:30
  61;Viktoras Virsys;2014;42;3:16:32
  62;Mindaugas žilys;2014;42;3:16:34
  63;Anastasia Bulavintseva;2014;42;3:17:18
  64;Mantas Volungevicius;2014;42;3:17:39
  65;Mindaugas Kuprionis Kuprionis;2014;42;3:17:40
  66;Timo Kelm;2014;42;3:17:40
  67;Kasparas Zajankauskas;2014;42;3:17:59
  68;DANIELE TENDERINI;2014;42;3:18:44
  69;Tommy Sjostrom;2014;42;3:18:55
  70;žydrunas Baltrušaitis;2014;42;3:19:04
  71;Adam Stivala;2014;42;3:19:29
  72;Deividas Maciejauskas;2014;42;3:20:16
  73;Andrius Ramonas;2014;42;3:21:00
  74;Gintautas Cerniauskas;2014;42;3:21:45
  75;Gareth Edwards;2014;42;3:21:46
  76;Antanas Kasparavicius;2014;42;3:22:06
  77;Julius šeniauskas;2014;42;3:22:11
  78;Kazimieras Biknius;2014;42;3:22:23
  79;Vita Devjatnikova;2014;42;3:22:29
  80;Marius Mockus;2014;42;3:22:36
  81;Andrej Sobolevskij;2014;42;3:22:48
  82;Andris Kirejevs;2014;42;3:23:05
  83;Allan Bowe;2014;42;3:23:11
  84;Vytautas Tamošiunas;2014;42;3:23:22
  85;Guntars Akmans;2014;42;3:23:33
  86;Gundars CERS;2014;42;3:23:38
  87;Vytautas Garla;2014;42;3:23:38
  88;Mantas Marcinkevicius;2014;42;3:24:05
