Pozicija;Dalyvis;Metai;Distancija;Laikas
1;Valdas Dopolskas;2012;10;0:35:02
1;Remigijus Kančys;2012;21;1:10:02
1;Tomas Venckūnas;2012;42;2:26:55
1;Paulius Bieliūnas;2012;4.2;0:12:57
2;Dovydas Stašys;2012;10;0:35:37
2;Massimiliano Brigo;2012;21;1:10:31
2;Krzystof Jaroslaw Bartkiewicz;2012;42;2:31:22
2;Vaclov Adamovič;2012;4.2;0:13:08
3;Domantas Balsys;2012;10;0:37:07
3;Diana Lobačevskė;2012;21;1:15:23
3;Dzmitry Hryhoryeu;2012;42;2:33:48
3;Regimantas Tarasevičius;2012;4.2;0:13:24
4;Vaida Žūsinaitė;2012;10;0:38:25
4;Vaidas Žlabys;2012;21;1:15:40
4;Tadas Kavaliauskas;2012;42;2:41:03
4;Aleksandras Malyško;2012;4.2;0:13:32
5;Antoine DY;2012;10;0:39:11
5;Vytautas Beliūnas;2012;21;1:15:56
5;Marijus Rindzevičius;2012;42;2:47:21
5;Tadas Kalkauskas;2012;4.2;0:13:32
6;Ruslan Pogorelov;2012;10;0:40:04
6;Simonas Krėpšta;2012;21;1:17:47
6;Riccardo Tortini;2012;42;2:49:19
6;Vaidas Žlabys;2012;4.2;0:13:49
7;Gediminas Morėnas;2012;10;0:41:31
7;Andrius Michailovas;2012;21;1:18:01
7;Donatas Stulgys;2012;42;2:50:14
7;Denis Kerr;2012;4.2;0:14:05
8;Valentas Totoris;2012;10;0:41:47
8;Vytas Vasilevičius;2012;21;1:18:46
8;Janis Actins;2012;42;2:52:09
8;KASPARAS ŠAIKUS;2012;4.2;0:14:15
9;Albertas Lakštauskas;2012;10;0:42:13
9;Nerijus Markauskas;2012;21;1:19:14
9;Vidas Totilas;2012;42;2:52:33
9;Denisas Tichonovas;2012;4.2;0:14:32
10;Donatas Mačianskas;2012;10;0:42:17
10;Martynas Ambrizas;2012;21;1:19:19
10;Antanas Žukauskas;2012;42;2:55:11
10;Dalius Cibulskas;2012;4.2;0:14:50
11;Gubertas Trubila;2012;10;0:42:30
11;Igoris Bondorovas;2012;21;1:19:30
11;Alexander Shelopukho;2012;42;2:56:26
11;Vilius Jaujininkas;2012;4.2;0:14:50
12;Šarūnas Šiugžda;2012;10;0:42:52
12;Vitaly Vorontsov;2012;21;1:19:53
12;Alfonsas Kazlauskas;2012;42;2:58:01
12;Silvijus Kačinskas;2012;4.2;0:14:58
13;Ramūnas Časas;2012;10;0:42:52
13;Petras Revuckas;2012;21;1:19:57
13;Kostas Zenov;2012;42;2:58:12
13;Vytautas Tamošiūnas;2012;4.2;0:15:07
14;Simonas Stūrys;2012;10;0:43:14
14;Saulius Valalis;2012;21;1:21:47
14;Pavel Klimov;2012;42;2:59:31
14;Pakeisti Dalius;2012;4.2;0:15:10
15;Mindaugas Savickas;2012;10;0:43:25
15;Rolandas Vasiliauskas;2012;21;1:22:04
15;Alastair Payne;2012;42;3:00:07
15;Pakeisti edvinas;2012;4.2;0:15:13
16;Albertas Karosas;2012;10;0:43:32
16;Valentas Jonaitis;2012;21;1:22:22
16;Vytautas Gražys;2012;42;3:00:08
16;Edgaras Abušovas;2012;4.2;0:15:15
17;Ruslanas Seitkalijevas;2012;10;0:43:33
17;Vytautas Kamarūnas;2012;21;1:22:30
